date,title,description
01.09.2025,Зарубежные управляющие заработали для вкладчиков ЕНПФ в 2024 году 1 трлн тенге,"Сейчас 12 иностранных компаний управляют 4,8 трлн тенге пенсионных активов"
30.08.2025,PepsiCo увеличит долю в Celsius,Стоимость пакета акций составит $585 млн
29.08.2025,Китайская компания построит в Алматы завод по энергетической утилизации отходов,Общий объем инвестиций составит не менее 145 млрд тенге
29.08.2025,"Монголия ищет инвесторов для простаивающих проектов в ГМК на $1,1 млрд",Большинство из них связаны с добычей золота и известняка
29.08.2025,Рынок ждет решения Нацбанка по базовой ставке,78% респондентов опроса АФК ожидают ее сохранение
29.08.2025,Didi выплатит $740 млн инвесторам после неудачного IPO в США,Из-за этих расходов компания зафиксировала чистый убыток во втором квартале
29.08.2025,ByteDance готовит выкуп акций у сотрудников,Им предложат продать свои бумаги из расчета оценки компании в 330 млрд долларов
28.08.2025,Первое IPO в юанях прошло на бирже AIX,"Jiaxin, разрабатывающая месторождение вольфрама в Богуты, завершила одновременное размещение акций в Гонконге и Астане"
28.08.2025,"Отчетность Nvidia превзошла ожидания рынка, но акции падают ",В течение прошедшего квартала у компании не было продаж чипов H20 в Китай
28.08.2025,Рынок криптовалют просел на крупных продажах и перетоках в «эфир»,Киты снимают сливки
28.08.2025,Компании в США выкупили акции на $1 трлн в рекордные сроки,"К концу года совокупный объем объявленных программ buyback превысит 1,3 трлн долларов"
28.08.2025,Lego получила рекордную выручку в первом полугодии,Компания за минувшее полугодие открыла 24 магазина и запустила в продажу 314 новых наборов
27.08.2025,Al Husseini Group построит в Казахстане племенной птицеводческий репродуктор,Иорданская компания инвестирует в проект до 85 млн долларов
27.08.2025,Buyback: Air Astana выкупила свои акции и ГДР на $2 млн,"С момента запуска второго этапа программы авиаперевозчик приобрел 1,2 млн акций и 37 тысяч глобальных депозитарных расписок"
27.08.2025,США ввели 50% пошлину на большинство индийских товаров,Она была повышена с 25% до 50% из-за закупки Индией больших объемов российской нефти
26.08.2025,Иржи Шмейц получил контрольный пакет Home Credit Bank,"Ранее доля чешского предпринимателя не превышала 34,7%"
26.08.2025,Белый дом готовится увеличить госдолю в стратегических компаниях?,Подобные меры могут стать частью более масштабной программы по формированию американского суверенного фонда
25.08.2025,Рынок балансирует между инфляцией и ожиданиями по ставке ФРС,Обзор от аналитиков BCC Invest
25.08.2025,Курс эфира обновил рекорд впервые за четыре года,С начала года криптовалюта прибавила более 40%
25.08.2025,Расходы Нацфонда превысили поступления вдвое,Поступления в главную копилку страны просели на 40%
25.08.2025,Сдача декларации о доходах и имуществе стала доступна казахстанцам во Freedom SuperApp,Банк подготовил два формата подачи декларации
25.08.2025,Куда инвестируют пенсионные накопления казахстанцев?,ЕНПФ опубликовал состав портфеля и данные по доходности
25.08.2025,Порог входа бизнеса в проекты ГЧП снижен в Казахстане ,Предусматривается двукратное сокращение требований по сумме инвестиций
22.08.2025,Казатомпром в I полугодии вдвое сократил чистую прибыль по МСФО ,"Показатель составил 263,2 млрд тенге"
22.08.2025,All Eyes on Jackson Hole: рынки ждут ясности по ставкам ,"Речь Джерома Пауэлла может как усилить распродажи рисковых активов, так и привести к покупкам на фондовых рынках"
21.08.2025,Что принесет осень 2025 года инвесторам?,"Компании публикуют промежуточную отчетность, а участники рынка пересматривают структуру своих портфелей"
21.08.2025,Генпрокуратура разблокировала инвестпроект на 7 млрд тенге в СЭЗ Хоргос,Китайская компания строит на территории зоны торговый павильон
21.08.2025,"Индекс KASE вырос с начала августа на 6%, а с начала года – на 22% ","Приток ликвидности на рынок могли поддержать дивидендные ожидания, улучшение корпоративных результатов и рост интереса инвесторов"
21.08.2025,Крипторынок на паузе. Что сдерживает рост биткоина?,Инвесторы переоценивают траекторию денежно-кредитной политики США
21.08.2025,Turkish Airlines приобретает миноритарную долю в испанской Air Europa,В рамках сделки компания получит от турецкого перевозчика инвестиции на 300 млн евро
21.08.2025,Минфин США видит в стейблкоинах опору для госдолга,"Аналитики прогнозируют, что в ближайшее десятилетие отношение долга к ВВП страны достигнет рекордных высот"
20.08.2025,Stada вернулась к планам по проведению IPO - СМИ,"Bain и Cinven купили фармкомпанию за 5,3 млрд евро в 2017 году"
20.08.2025,Венгерская Aranynektár Kft планирует построить в Казахстане завод по производству меда,Продукция будет выпускаться по экологическим стандартам ЕС
20.08.2025,Nasdaq теряет позиции из-за фиксации прибыли в техсекторе ,Высокие мультипликаторы и опасения перегрева сектора подтолкнули инвесторов к продажам
20.08.2025,SoftBank Group инвестирует $2 млрд в Intel ,Японская компания станет шестым по величине акционером американского чипмейкера
19.08.2025,Власти США хотят получить 10% в Intel - СМИ,"Объем сделки может составить порядка 10,5 млрд долларов"
19.08.2025,Инвесторы ждут сигналов о динамике процентных ставок ФРС,Перед выступлением Джерома Пауэлла на симпозиуме в Джексон-Хоуле рынки демонстрируют паузу и осторожность
18.08.2025,ФРС на пороге смягчения денежно-кредитной политики?,Обзор от аналитиков BCC Invest
18.08.2025,Объем вкладов казахстанцев превысил 25 трлн тенге,Население предпочитает тенговые депозиты с высокой доходностью
18.08.2025,Apple возглавила список самых дорогих брендов мира 4-й год подряд,"Его стоимость выросла за год на 28% - до 1,3 трлн долларов"
18.08.2025,"Профицит торгового баланса РК за первое полугодие сократился на 32,9% ","Показатель снизился до 7,7 млрд долларов против 11,5 млрд долларов за аналогичный период 2024 года"
16.08.2025,Soros Fund и Appaloosa увеличили долю в Nvidia и UnitedHealth,Компании отчитались за второй квартал
16.08.2025,Оператор платежного сервиса PayPay направил SEC заявку на размещение ADS,"Сроки и ценовой диапазон размещения, а также его объем пока не определены"
15.08.2025,США могут инвестировать в Intel за счет Chips Act,Государственное участие может помочь компании в создании производственного хаба в Огайо
15.08.2025,Данные индекса цен производителей в США охладили спрос на риск ,"PPI в июле вырос на 0,9%, что стало самым значительным месячным приростом с июня 2022 года"
14.08.2025,Аналитик назвал дивидендных лидеров рынка KASE ,Как дивидендный сезон оказывает влияние на котировки
14.08.2025,Компания Тимура Турлова и Ерлана Оспанова построит топливный терминал в аэропорту Караганды,"В PetroChina заявили, что готовы поставлять в воздушную гавань авиатопливо Jet A-1"
14.08.2025,Акции Народного Банка подтолкнули индекс KASE вверх,Интерес к бумагам крупнейшего банка страны может поддерживаться ожиданиями сильной корпоративной отчетности
14.08.2025,Китайские компании готовы вложиться в строительство логистического порта в Курыке,Проект с инвесторами обсудил аким Мангистауской области Нурдаулет Килыбай
14.08.2025,Биткоинов на всех не хватит? Криптовалютый рынок стоит уже $4 трлн,Публичные компании продолжают наращивать цифровые резервы
14.08.2025,"Криптобиржа Bullish привлекла $1,1 млрд в рамках IPO","Оценка стоимости компании составила 5,41 млрд долларов"
13.08.2025,"С ValueLBH Fund обсудили инвестпроекты на $1,5 млрд","Рассмотрены инициативы в транспортной, аграрной, энергетической и нефтеперерабатывающей сферах"
13.08.2025,"Отбасы банк привлек на KASE 102,7 млрд тенге",Средства направят на кредитование по программе Наурыз
13.08.2025,"За январь–июль инвестиции в основной капитал выросли на 16,1%",Наибольший рост показателя зафиксирован в сфере образования
13.08.2025,AIX провела первый публичный листинг Bitcoin ETF в Центральной Азии,"Фонд обеспечен физическим биткоином, хранящимся у лицензированного кастодиана"
13.08.2025,На рынке возросли ожидания по снижению базовой ставки Федрезервом,Вероятность снижения ставки на 25 б.п. на сентябрьском заседании составляет 94%
12.08.2025,"БЦК, Kaspi и Народный Банк лидировали в росте фондового рынка ",Финсектор обеспечил основной вклад в рост биржевого индекса в понедельник
11.08.2025,"Ожидается рост корпоративной прибыли на 10,1% в 2025 году",Обзор от аналитиков BCC Invest
11.08.2025,Halyk Finance инвестировал в Tolqyn Film Fund,Через биржевые ноты на AIX и другие инвесторы смогут участвовать в финансировании кинопроектов
11.08.2025,Инфляционные данные из США могут стать препятствием для роста рынков,"Инфляция в Штатах в июле может ускориться до 2,8% год к году из-за эффекта новых пошлин, усилив давление на ФРС"
08.08.2025,Книга заявок на IPO саудовской Almajdiah переподписана в 107 раз,Спрос на акции составил 36 млрд долларов
08.08.2025,Apple инвестирует дополнительные $100 млрд в экономику США - Дональд Трамп,"Президент заявил, что эти средства позволят создать более 20 тысяч рабочих мест"
07.08.2025,Акции Apple выросли на фоне освобождения компании от тарифов США ,"Дональд Трамп объявил о введении пошлины порядка 100% на полупроводники, ввозимые в страну"
07.08.2025,"Черная полоса крипторынка: спрос упал, но эксперты верят в чудо","Аналитики QCP Capital отметили, что в ближайшее время вероятность обновления исторических максимумов остается высокой"
07.08.2025,Disney увеличила чистую прибыль вдвое в третьем финквартале,Компания улучшила годовой прогноз
06.08.2025,OpenAI обсуждает продажу акций с оценкой всей компании в $500 млрд - СМИ,Американская ИИ-компания ведет переговоры с Thrive Capital и другими инвесторами
06.08.2025,"AMD во втором квартале увеличила чистую прибыль в 3,3 раза",Выручка превзошла прогноз
06.08.2025,Мировые центробанки в июне купили 22 тонны золота,"Наиболее активно закупали драгметалл Узбекистан, Казахстан и Турция"
06.08.2025,ГДР Fix Price исключены из листинга на MOEX и СПБ Бирже,Торги бумагами компании будут продолжены на AIX
06.08.2025,"Нефть подешевела на 1,6% на фоне возможных уступок России Дональду Трампу","Кремль рассматривает различные варианты, включая паузу в авиаударах, чтобы избежать угрозы вторичных санкций"
05.08.2025,"Акции Kaspi выросли на 13,8% на Nasdaq после публикации сильной отчетности ","Выручка финтех-компании за вычетом доходов из Турции составила 734 млрд тенге, чистая прибыль – 276 млрд тенге"
04.08.2025,Фокус на Magnificent 7 и угроза со стороны тарифов,Обзор от аналитиков BCC Invest
04.08.2025,"Berkshire Hathaway во II квартале сократила чистую прибыль в 2,5 раза",Около 67% портфеля ее акций занимают бумаги пяти компаний
04.08.2025,"Рынок труда в США охлаждается, но инфляционные риски растут",Такое сочетание привело к перетоку ликвидности из рисковых активов в безопасные
24.07.2025,Турецкий Safi Holding планирует построить сахарный завод в Казахстане,Объем предполагаемых инвестиций — 150–200 млн долларов
19.07.2025,Chevron закрыла сделку по покупке Hess,Компания выиграла в споре за ее гайанские активы с ExxonMobil
19.07.2025,Дональд Трамп утвердил первый в США закон о стейблкоинах,Подписание он назвал «официальным одобрением» криптоиндустрии со стороны государства
19.07.2025,С начала года рыночная стоимость Netflix выросла на 43%,"Выручка компании в апреле-июне повысилась на 16%, до 11,08 млрд долларов"
19.07.2025,"Burberry в первом финквартале сократила выручку на 5,5%",Показатель составил 433 млн фунтов стерлингов
18.07.2025,Капитализация Oracle приблизилась к $700 млрд,Всего 13 американских компаний имеют рыночную стоимость выше этого уровня
18.07.2025,В США одобрены три законопроекта по регулированию криптовалют,Документ о стейблкоинах направили на подпись Дональду Трампу
18.07.2025,Казахстанский стартап получил поддержку от топ-менеджеров Shell и Qatar Energy,CYBERPACK.AI привлек 300 тысяч долларов ангельских инвестиций
17.07.2025,Покупатели инвалюты сохраняют доминирующее положение - АФК,Это толкает курс доллара вверх на KASE
17.07.2025,Институциональный шквал и «китовые» маневры разогрели крипторынок,Мощный импульс биткоина вернул инвесторам убежденность в продолжении бычьего цикла
16.07.2025,KASE представила итоги работы за первое полугодие 2025 года,"Совокупный объем торгов составил 176,1 трлн тенге и снизился по сравнению с аналогичным периодом 2024 года на 5,9%"
16.07.2025,Как легально торговать цифровыми активами в Казахстане,"Объем транзакций такими финансовыми инструментами в рамках МФЦА в первом квартале достиг 1,7 млрд долларов"
16.07.2025,"За второй квартал 2025 года Индекс KASE вырос на 6,4%",Наибольший объем торгов пришелся на простые акции Казахтелекома
16.07.2025,Инфляция в США ускоряется – потребители ощущают эффект торговых пошлин,Тарифные угрозы Белого дома осложняют перспективы ее замедления и нормализации денежно-кредитной политики
16.07.2025,Рост валютных активов Нацфонда обеспечен за счет инвестдохода – Нацбанк,"Алия Молдабекова рассказала, как изменились активы в иностранной валюте и что повлияло на их рост в первом полугодии 2025 года"
15.07.2025,Акции Strategy обновили 8-месячный максимум из-за скачка биткоина,Теперь компании принадлежит свыше 601 тысячи BTC
15.07.2025,Угольная компания Шубарколь комир ушла с KASE,"Это третий актив из структуры ERG, который в текущем году провел делистинг с биржи"
15.07.2025,Спрос на биткоин растет на фоне ожиданий реформ в США ,В конгрессе готовятся к голосованию по трем ключевым криптовалютным проектам
14.07.2025,Биткоин и медь в центре рыночного интереса,Обзор от аналитиков BCC Invest
14.07.2025,Как новая администрация США повлияла на рынки за полгода,"На сегодня  особенно актуальны стратегии, ориентированные на защитные и фундаментально устойчивые компании"
14.07.2025, В Костанайской области построят птицефабрику мощностью 200 млн яиц в год,"Общая стоимость инвестиций составит 1,2 млрд тенге"
14.07.2025,Торговые споры Белого дома набирают обороты ,Администрация президента США угрожает ЕС и Мексике тарифом в 30% с 1 августа
