date,title,description
07.10.2025,"Расходы на одного казахстанца в здравоохранении за 7 лет выросли в 2,6 раза","Со 159 тысяч до 442 тысяч тенге, сообщили в Минздраве"
07.10.2025,Хищение средств госпрограммы Нурлы жер в Акмолинской области: дело передано в суд ,Ущерб оценивается в 152 млн тенге
07.10.2025,За поливной период на сельхознужды забрали более 11 млрд кубометров воды  ,Большая часть ресурсов ушла на южные регионы
06.10.2025,Дело о хищениях в Samruk-Kazyna Construction: руководителя подрядной организации осудили,Ему назначено наказание в виде семи лет лишения свободы и конфискации имущества
06.10.2025,В Павлодарской области 12 предприятий занимались незаконной добычей ископаемых  ,В регионе нелегально оформляли лицензии на недропользование
06.10.2025,Детский спорт в Павлодаре получил новый импульс при поддержке Bank RBK,Здесь могут одновременно заниматься до 100 детей
06.10.2025,ОАЭ выдали Казахстану подозреваемого в незаконном обороте нефтепродуктов ,Его обвиняют в нелегальной реализации черного золота на более чем 300 млн тенге
06.10.2025,Предприятие в Костанайской области оштрафовали за незаконный водозабор  ,С нарушителя взыскали 1 671 100 тенге
04.10.2025,В Конаеве проводят конкурс на создание официальной символики города,Заявки принимаются до 31 декабря
03.10.2025,Алексей Цой: Казахстан способен стать новым хабом медицинских инноваций,"Он отметил, что в стране уже активно развивают медицинский туризм и внедряют технологии, которые находят признание за рубежом"
03.10.2025,Первой космической туристкой из Казахстана станет Данна Карагусова,Она вошла в число участников полета на корабле New Shepard компании Blue Origin
03.10.2025,Незаконный майнинг цифровых активов: с 2024 года зарегистрировано 17 уголовных дел,"Ущерб по ним оценивается в 1,3 млрд тенге"
03.10.2025,Прямой рейс запустят между Казахстаном и Латвией,Открытие нового направления намечено на весну 2026 года
03.10.2025,Белый дом отметил позицию Казахстана касательно мирного плана Дональда Трампа,"Администрация президента США опубликовала материал, в котором подчеркнула поддержку рядом стран"
03.10.2025,Акиматам в регионах передали 10 групповых водопроводов,"Это позволит снизить их аварийность за счет регулярного обслуживания и ремонта сетей, пояснили в Минирригации"
02.10.2025,Отмывание средств ЕНПФ: АФМ объявило в розыск подозреваемых в преступных схемах ,Их обвиняют в оформлении фиктивных медицинских документов под видом оказания стоматологических услуг
02.10.2025,"В Уральске открыли школу, построенную за счет возвращенных средств ","Ее возведение обошлось в 2,8 млрд тенге"
02.10.2025,На 86% выросла площадь применения водосберегающих технологий,В этом году она составляет 581 тысячу га
01.10.2025,В городе Алатау в госфонд вернули незаконно выведенные земельные участки,"Их кадастровая стоимость оценивается в 1,8 млрд тенге"
01.10.2025,"Отопительный сезон: в регионы поставили 4,5 млн тонн угля ","Общая потребность населения и коммунально-бытового сектора в твердом топливе составляет 7,4 млн тонн"
01.10.2025,Требования к поступающим в медвузы в Казахстане ужесточены,"Пороговый балл повышен, прием студентов на платной основе сокращен"
01.10.2025,В 2025 году по педагогическим специальностям выделено более 13 тысяч грантов,"В стране, где чтят труд учителей, вырастет образованное поколение, считает Касым-Жомарт Токаев"
01.10.2025,Необоснованные траты на 235 млн тенге собирались провести в госзакупках в Степногорске,Организаторы завышали сметную стоимость и включали ненужные объемы работ
01.10.2025,В Алматы выявили очередную финансовую пирамиду Boxy Wealth ,От действий мошеннической организации пострадали 180 человек
01.10.2025,Казахстан усиливает контроль за перевозками радиоактивных материалов в рамках СНГ,В странах Содружества выстроят единую систему мониторинга и ответственности при перемещении ядерных грузов
01.10.2025,Реконструкцию водохранилища в Туркестанской области завершат до конца года ,Водный объект обеспечит питьевой водой около 11 тысяч человек
30.09.2025,Астану с официальным визитом посетит президент Венгрии ,Главы государств проведут переговоры и примут участие в форуме Digital Bridge 2025
30.09.2025,Сеть сейсмостанций создадут в Мангистауской области,Ученые начали экспедицию по изучению региона
30.09.2025,Президент принял государственного министра по делам обороны ОАЭ,Стороны обсудили перспективы сотрудничества в области обеспечения безопасности и военного образования
30.09.2025,Пассажиры FlyArystan смогут бесплатно перевозить товары duty free в ручной клади,Норма вступит в силу в октябре по инициативе авиационной транспортной прокуратуры Алматы
30.09.2025,На 28 млрд тенге оштрафовали предприятие в Павлодаре за экологическое нарушение,Компания превысила лимит захоронения отходов
30.09.2025,В Астане вынесли приговор по делу о крупном мошенничестве с кредитами,"Осужденные похитили деньги, оформив займы по поддельным документам"
30.09.2025,В Казахстане насчитывается 448 граждан старше 100 лет ,Самая пожилая казахстанка живет в области Улытау
29.09.2025,Казахстан и Сингапур будут вместе расследовать транспортные происшествия ,Меморандум об этом подписали Комитет гражданской авиации РК и Бюро по расследованию транспортных происшествий Сингапура
29.09.2025,Глава государства принял министра просвещения Жулдыз Сулейменову,Президент дал министру ряд конкретных поручений
29.09.2025,В Астане началась тестовая эксплуатация LRT,Составы будут курсировать в беспилотном режиме
29.09.2025,Сервис-криптообменник по отмыванию преступных доходов выявили в Казахстане ,Его общий оборот оценивается на более чем 224 млн долларов
29.09.2025,Глава государства наградил президента Италии орденом Достық I степени,Касым-Жомарт Токаев подчеркнул вклад Серджо Маттареллы в углубление казахско-итальянских отношений
29.09.2025,Одну из центральных улиц Астаны назовут в честь Марко Поло,"Это станет символом прочной дружбы между Казахстаном и Италией, считает Касым-Жомарт Токаев"
29.09.2025,Касым-Жомарт Токаев и Серджо Маттарелла провели переговоры,"Нас связывают прочные экономические контакты, сказал президент Казахстана"
29.09.2025,Президент Италии прибыл с официальным визитом в Астану,Серджо Маттареллу торжественно встретили в Акорде
29.09.2025,В Акорде прокомментировали кадровые перестановки,"Это обычная ротация, цель - усилить эффективность работы на важных направлениях госдеятельности, сказал Руслан Желдибай"
29.09.2025,Задержан прокурор города Рудного ,Его подозревают в совершении уголовно наказуемого деяния
29.09.2025,Строительство АЭС создаст до 10 тысяч рабочих мест ,Об этом сказал председатель Агентства по атомной энергии Алмасадам Саткалиев
29.09.2025,Шымкентский аэропорт прошёл сертификацию ЕС ,Воздушная гавань получила статус RA3 для грузоперевозок
27.09.2025,Касым-Жомарт Токаев направил телеграмму президенту Туркменистана,Глава государства поздравил Сердара Бердымухамедова и народ республики с Днем независимости
27.09.2025,В Казахстане открылся первый в Центральной Азии филиал New York Film Academy,Новый кампус создан на базе Energo University и креативного парка Dala Edge
27.09.2025,Премьер вручил награды от имени президента представителям рабочих профессий,В Казахстане отмечают День труда
27.09.2025,Около 3000 участниц офлайн собрал форум BeWoman Asia 2025,На его площадке выступит более 100 спикеров из 20 стран
27.09.2025,Конкурс на название АЭС: за сутки поступило почти 10 тысяч заявок ,Сбор предложений продлится до 10 октября
26.09.2025,Президент принял нового министра иностранных дел  ,Касым-Жомарт Токаев дал поручения по укреплению сбалансированной внешней политики
26.09.2025,Совет по развитию города Алатау возглавил премьер-министр ,"Также в совет вошли министры, председатель Нацбанка, акимы Алматы и Алматинской области"
26.09.2025,Городу Алатау придали специальный статус,Указ об этом подписал Касым-Жомарт Токаев
26.09.2025,Касым-Жомарт Токаев провел телефонный разговор с Владимиром Путиным,Особое внимание собеседники уделили подготовке к предстоящему государственному визиту президента в Россию
26.09.2025,Свою основную миссию назвал Касым-Жомарт Токаев ,Президент рассказал о целях и задачах государственной политики
26.09.2025,В Казахстане 30 колледжей переходят на корпоративную модель управления,Среднее подушевое финансирование на одного студента вырастет до 912 тысяч тенге
26.09.2025,Аким Алматы раскритиковал подрядчиков за срыв сроков городских проектов,Подрядную организацию обязали до 8 октября устранить провалы асфальта на улицах Аманжол и Яссауи
25.09.2025,В Туркестане открыли филиал корейского университета,"Вуз станет центром международного сотрудничества и инноваций, считает Ермек Кошербаев"
25.09.2025,В Астану с официальным визитом прибудет и.о. президента Мьянмы,Намечено проведение переговоров на высшем уровне
25.09.2025,Суд оставил без изменений приговор по делу Перизат Кайрат  ,Заседание проходило без участия осужденных
25.09.2025,Открыто расследование по факту создания финпирамиды Амир Капитал ,Организация маскировалась под международный инвестиционный фонд
25.09.2025,Казводхоз будет сотрудничать с южнокорейской K-Water по вопросам цифровизации ,Заключен меморандум о взаимодействии в сферах эффективного управления водохозяйственными объектами
24.09.2025,СНГ создает международный центр для борьбы с отмыванием денег,Информационная система поможет отслеживать трансграничные схемы и теневые потоки капитала
24.09.2025,Действие контракта по добыче песка пытались возобновить незаконно в Алматинской области ,Его стоимость оценена в 3 млрд тенге
23.09.2025,Казахстан поддерживает Инициативу глобального развития ,Инициатива призвана способствовать более быстрому достижению Целей устойчивого развития
23.09.2025,Касым-Жомарт Токаев провел переговоры с президентами Франции и Финляндии,На встречах главы государств обсудили развитие сотрудничества
23.09.2025,Глава государства пригласил Князя Монако посетить Казахстан с официальным визитом,Президент обратил внимание на потенциал для расширения экономического сотрудничества между странами
23.09.2025,Открыт авиарейc Караганда – Семей – Караганда ,Полеты будут осуществляться по вторникам и четвергам
23.09.2025,Петицию против запрета самокатов запустили в Казахстане ,"Ее автор считает, что правильнее стимулировать людей пересаживаться на более экологичный и удобный транспорт"
23.09.2025,Минторговли открыло горячую линию по ситуации на рынке говядины,"Обратиться можно из любой точки страны - как гражданам, так и представителям бизнеса"
23.09.2025,"Нурбанк, Caspian University и Colvir Software Solutions заключили меморандум о сотрудничестве","Стороны договорились о создании образовательной экосистемы, ориентированной на практические навыки и требования рынка труда"
23.09.2025,"В Туркестанской области выявили семьи, скрывающие доходы для получения АСП ","Ими незаконно получено 2,2 млн тенге"
23.09.2025,Завершается реконструкция водовода в Мангистауской области ,Сдача объекта в эксплуатацию запланирована на октябрь 2025 года
22.09.2025,Казахстан привержен построению эффективного взаимодействия с Правительством США ,Об этом Касым-Жомарт Токаев сказал во время встречи с главным исполнительным директором Торговой палаты США Сюзанн Кларк
22.09.2025,Глава государства встретился с вице-президентом Meta Янном Лекуненом,Казахстан укрепляет партнерство с компанией в сфере искусственного интеллекта
22.09.2025,Имущество на 30 млрд тенге вернули государству в СКО  ,Должностные лица привлечены к дисциплинарной ответственности
22.09.2025,Пропаганда терроризма: житель Сатпаева склонял горожан к радикальной идеологии ,Его лишили свободы на пять лет
22.09.2025,Казахстан выступил с призывом к соблюдению международного гуманитарного права,"Шесть государств выступили с заявлением касательно защиты гражданских лиц, объектов, медицинских и гуманитарных работников"
22.09.2025,До конца года в госсобственность перейдут 120 гидротехнических сооружений ,Акиматы разработали дорожные карты по принятию их на баланс организаций по эксплуатации и управлению
22.09.2025,Очереди образовались на некоторых приграничных пунктах пропуска ,Ситуацию прокомментировали в министерстве транспорта
21.09.2025,Казахстан вступает в новый этап развития энергетики – президент ,"Глава государства отметил, что для страны представляют интерес инновационные методы, используемые в атомной отрасли"
20.09.2025,В Алматы построили теннисный центр за 1 млрд тенге,В этом комплексе смогут проводить турниры уровня ITF и ATF
20.09.2025,В Риддере откроют больничный комплекс стоимостью около 35 млрд тенге,Строительство объекта завершат до конца года
20.09.2025,В Казахстане усилят институт независимых директоров ,Необходимые для этого меры предусмотрены в проекте закона о банках
19.09.2025,Казахстан активизировал борьбу с отмыванием преступных доходов,Соответствующий законопроект одобрил президент Касым-Жомарт Токаев
19.09.2025,Дархан Сатыбалды объявил выговор акимам Ауэзовского и Медеуского районов,"Он поручил провести служебное расследование по фактам провалов асфальта, размыва траншеи и кражи гранитных плит"
19.09.2025,Хищения субсидий на удешевление корма и ведение селекции выявили в Костанайской области ,Виновным вынесен приговор - они получили реальные сроки лишения свободы
19.09.2025,Выводившую деньги через дроп-схемы преступную группу задержали в Шымкенте  ,Общая сумма ущерба превысила 141 млн тенге
19.09.2025,Количество аварий с электросамокатами выросло более чем вдвое,В Казахстане активно обсуждают вопрос изменения правил использования средств микромобильности
19.09.2025,Масштабную фишинговую атаку на казахстанских автомобилистов готовили в Казахстане,О ней предупредил Центр прогнозирования преступных угроз и рисков
19.09.2025,Глава государства посетит с рабочим визитом Нью-Йорк 21-23 сентября,Президент примет участие в работе 80-й сессии Генеральной ассамблеи ООН
19.09.2025,Квалификации вне формальных образовательных программ теперь признаются в Казахстане,Утверждена новая Национальная рамка квалификаций
18.09.2025,МЦРИАП преобразовано в министерство искусственного интеллекта и цифрового развития,Указ об этом подписал президент
18.09.2025,Глава государства принял президента Казахстанской федерации бокса ,На встрече отмечена важность планомерной подготовки боксеров к Олимпийским играм 2028 года
18.09.2025,Казахстанские спортсмены и тренеры удостоены госнаград за победу на чемпионате мира по боксу,Президент поблагодарил Геннадия Головкина за содействие возвращению бокса в программу олимпийских видов спорта
18.09.2025,Премьер принял участие во встрече глав правительств стран ОТГ в Бишкеке,"Олжас Бектенов сказал, что Организация тюркских государств за короткое время повысила свой мировой статус"
18.09.2025,Мы стали свидетелями конструктивного диалога - президент ,Касым-Жомарт Токаев выступил на закрытии VIII Съезда лидеров мировых и традиционных религий
18.09.2025,АФМ раскрыло незаконную схему микрокредитования через комиссионки,"Под брендом Актив Маркет работали более 200 филиалов, сотни тысяч граждан пострадали от завышенных ставок"
18.09.2025,Тимур Турлов финансирует строительство футбольной академии ,На спорткомплекс в Карагандинской области направят 12 млрд тенге
18.09.2025,"Должников теперь будут выявлять в аэропортах, метро и ЦОНах","Министерство юстиции, палата частных судебных исполнителей и Генпрокуратура расширили возможности системы Цифровой контроль"
18.09.2025,Группу лиц осудили в Атырау за организацию схемы по обналичиванию преступных денег ,Виновные выписывали поддельные счета-фактуры и уклонялись от налогов
18.09.2025,Крупный канал незаконной миграции перекрыли в Туркестанской области ,Гражданам ближнего зарубежья содействовали в незаконном пересечении госграницы
18.09.2025,Восемь жилых квартир повреждены из-за пожара в кафе Астаны ,Жертв и пострадавших в ЧП нет
17.09.2025,"В 90% поездок самокаты используют, чтобы добраться до работы, учебы и дома",Аналитики сервиса Яндекс Go изучили поведение пользователей в 2025 году
17.09.2025,Глава РК высказался о языковом вопросе в Казахстане ,Попытки подорвать политику «единства в многообразии» пресекаются и будут получать должную правовую оценку
17.09.2025,Сильное беспокойство вызывает риск ядерного конфликта - президент ,"Его вероятность оценивается экспертами как максимально высокая за последние десятилетия, отметил глава государства"
17.09.2025,Магистральный водопровод в ЗКО сдадут в эксплуатацию в декабре ,На сегодня строительно-монтажные работы завершены на 50%
16.09.2025,Мошенники представляются сотрудниками АФМ и выманивают банковские данные ,Агентство по финансовому мониторингу сделало заявление
16.09.2025,Казахстан и США подписали совместное заявление о ядерной безопасности,Предусматривается хранение ОЯТ в Silo до разработки решения по его окончательной утилизации
16.09.2025,Территорию Кокшетау расширят на 7 тысяч гектаров ,Прогнозируется рост численности населения города до 500 тысяч человек
16.09.2025,Прокуроры Экибастуза пресекли нецелевое расходование 160 млн тенге,Акимат города разместил лот на приобретение промышленной базы
16.09.2025,Казахстан улучшил позицию в международном рейтинге авиабезопасности ,Подведены предварительные итоги аудита ИКАО
16.09.2025,В Туркестане открыли олимпийский гребной канал,BI Group завершила строительство уникального объекта
16.09.2025,В AERC проанализировали тональность новостей казахстанских СМИ,Аналитики исследовали материалы за последние 10 лет
16.09.2025,В Казахстане введена уголовная ответственность за дропперство ,Максимальное наказание по новой статье УК - семь лет лишения свободы с конфискацией имущества
16.09.2025,Президент прибыл с рабочей поездкой в Акмолинскую область,Глава государства планирует посетить ряд агропромышленных и социальных объектов региона
16.09.2025,Четвертый поток казахстанских специалистов водной отрасли проходит обучение в Китае,В 2026 году на курсы в КНР отправят 200 человек
15.09.2025,В Казахстане проведут ревизию всех проблемных участков дорог,С начала года от граждан поступило более 30 тысяч обращений по вопросам дорожного движения
15.09.2025,Движение электросамокатов по тротуарам планируют запретить в Казахстане,Усилить контроль за станциями техосмотра авто предлагает МВД
15.09.2025,Регионы Казахстана испытывают дефицит сотрудников дорожной полиции,"Полицейских необходимо вернуть в состав госкомиссий по приемке дорог, заявляют в МВД"
15.09.2025,МВД предлагает ввести лицензирование автошкол,Такие поправки в законодательство прорабатывают с мажилисом
15.09.2025,Свыше 200 млрд тенге вывели незаконно из ЕНПФ - АФМ,Преступные группы оформляли фиктивные документы для досрочного изъятия пенсионных средств
15.09.2025,Президент принял генерального секретаря Всемирной исламской лиги,Шейх Мухаммед бен Абдулкарим Аль-Исой примет участие в VIII Съезде лидеров мировых и традиционных религий
15.09.2025,Из Турции экстрадировали бывшего сотрудника правоохранительного органа,Его подозревают в организации незаконного игорного бизнеса
15.09.2025,"Президент поздравил казахстанских боксеров, завоевавших золотые медали на первенстве мира",Глава государства дал напутствие спортсменам по подготовке к Олимпийским играм в США
15.09.2025,Первое место заняла сборная Казахстана в командном зачете чемпионата мира ,"Команда из РК завоевала на нем десять медалей, семь из которых являются золотыми"
13.09.2025,Авиакомпании Cathay намерена запустить прямой рейс между Гонконгом и Казахстаном ,"Будучи одним из самых крупных пассажирских и грузовых перевозчиков в мире, Cathay расширяет свой авиапарк"
13.09.2025,В Алматы обсудили борьбу с контрабандой товаров ,Главы правоохранительных подразделений таможенных служб СНГ собрались на 25-е заседание профильного Комитета
12.09.2025,В Жетісу создадут управление по развитию туризма,"А также коммунальное предприятие, которое будет отвечать за чистоту и порядок на побережьях Алаколя и Балхаша"
12.09.2025,К борьбе с «черным рынком» воды подключатся правоохранительные органы ,Минирригации достигло договоренности с Генпрокуратурой и МВД
12.09.2025,ВОЗ оценит систему контроля лекарств в Казахстане,Эксперты проводят аудит по международным стандартам
